CODE,TYPE,HEADING,LABELS,COST,DETAILS
 N7424284,necklaces,Pluie de Cartier necklace,"white gold, diamonds",9950.0,"Pluie de Cartier necklace, 18K white gold, set with 17 brilliant-cut diamonds totaling 0.96 carat."
 H7000308,necklaces,Pluie de Cartier necklace,"white gold, diamonds",263000.0,"Pluie de Cartier necklace, 18K white gold, set with diamonds totaling 27.7 carats."
 N7424312,necklaces,Clash de Cartier necklace Diamonds,"pink gold, diamonds",6250.0,"Clash de Cartier necklace, 18K pink gold, set with 10 brilliant-cut diamonds totaling 0.29 carats. Pendant size: 37mm. Width: 6.8mm. Adjustable chain length: 38-41cm"
 B7224744,necklaces,Clash de Cartier necklace Small Model,pink gold,2370.0,"Clash de Cartier necklace, small model, 18K pink gold. Pendant size: 41.5mm. Width: 6.4mm. Adjustable chain length: 38-41cm"
 B7224745,necklaces,Clash de Cartier necklace Medium Model,pink gold,3500.0,"Clash de Cartier necklace, medium model, 18K pink gold. Pendant size: 44mm. Width: 8mm. Adjustable chain length: 38-41cm"
 B8301238,earrings,"Amulette de Cartier earrings, XS model","yellow gold, white mother-of-pearl, diamonds",2910.0,"Amulette de Cartier earrings, XS model, 18K yellow gold, white mother-of-pearl, set with 2 brilliant-cut diamonds totaling 0.05 carats. Diameter of motifs: 12 mm."
 B8301230,earrings,"Amulette de Cartier earrings, XS model","pink gold, onyx, diamonds",4150.0,"Amulette de Cartier earrings, XS model, 18K pink gold, onyx, set with 4 brilliant-cut diamonds totaling 0.14 carats. Diameter of motifs: 12 mm."
 B8301239,earrings,"Amulette de Cartier earrings, XS model","pink gold, onyx, diamonds",2910.0,"Amulette de Cartier earrings, XS model, 18K pink gold, onyx, set with 2 brilliant-cut diamonds totaling 0.05 carats. Diameter of motifs: 12 mm."
 B8301229,earrings,"Amulette de Cartier earrings, XS model","yellow gold, white mother-of-pearl, diamonds",4150.0,"Amulette de Cartier earrings, XS model, 18K yellow gold, white mother-of-pearl, set with 4 brilliant-cut diamonds totaling 0.14 carats. Diameter of motifs: 12 mm."
 B8301251,earrings,"Amulette de Cartier earrings, XS model","pink gold, onyx, white mother-of-pearl, diamond",6700.0,"Amulette de Cartier earrings, extra-small model, 18K pink gold, onyx, white mother-of-pearl, each set with 2 brilliant-cut diamond totaling 0.11 carat. Motif diameter: 12 mm."
 B8301421,earrings,Love single earring,yellow gold,500.0,"Love single earring, 18K yellow gold. Diameter 6 mm. Sold individually."
 B8301422,earrings,Love single earring,pink gold,,"Love single earring, 18K pink gold. Diameter 12mm. Sold individually."
 B8301254,earrings,Love earrings,pink gold,1370.0,"Love earrings, 18K rose gold. Inner diameter 7.2mm."
 B8301255,earrings,Love earrings,yellow gold,1370.0,"Love earrings, 18K yellow gold. Inner diameter 7.2mm."
 B8301256,earrings,Love earrings,white gold,1470.0,"Love earrings, 18K white gold. Inner diameter 7.2mm."
 B8301424,earrings,Love single earring,"white gold, diamond",1750.0,"Love earring, 18K white gold, set with 12 brilliant-cut diamonds totaling 0.05 carat. Diameter: 12 mm. Sold individually."
 B8028800,earrings,Love earrings,yellow gold,1770.0,"Love earrings, 18K yellow gold. Width: 2.65mm. Inner diameter 10mm."
 B8029000,earrings,Love earrings,pink gold,1770.0,"Love earrings, 18K rose gold. Width: 2.65mm. Inner diameter 10mm."
 B8028900,earrings,Love earrings,white gold,1890.0,"Love earrings, 18K white gold. Width: 2.65mm. Inner diameter 10mm."
 B8022500,earrings,Love earrings,yellow gold,3150.0,"Love earrings, 18K yellow gold. Width: 5.7mm."
 B8028200,earrings,Love earrings,yellow gold,3750.0,"Love earrings, 18K yellow gold. Width: 3.6mm. Inner diameter 32.6mm."
